entity,question,answer1,answer2,answer3,answer4,correctAnswer,reference,category
CMCC,"At the climate negotiations, the 5 UN regional groups (African Group; Asia-Pacific Group; Eastern-European Group; Latin American and Caribbean Group; Western European and Others Group) are generally used:","As negotiating alliances to be entrusted, on behalf of their respective member countries, with interventions in all technical discussions in order to ensure shorter and more efficient sessions.","As a criterion for defining the differentiation of obligations between countries in the various negotiating texts, according to the principle of historical responsibilities.","As a criterion of geographical balance for the rotation of the seat/presidency of the COPs from year to year, as well as for the composition of certain decision-making and/or technical bodies.","Exclusively for speeches at the opening and closing plenary sessions of the conferences, representing all member countries.",3,This is a test reference,Climate change fundamentals
CMCC,"Which of these options contains phenomena that have ""INDIRECT EFFECTS"" on health?","Air pollution, floods and extreme temperatures","Extreme temperatures, vector-borne diseases and air pollution","Allergies and pollen, air pollution and vector-borne diseases",,3,This is a test reference,Climate change fundamentals
CMCC,Which of these phenomena affects the largest number of people in the world (2000-2019)?,Floods,Extreme temperatures,Gales,Hurricanes,1,This is a test reference,Climate change fundamentals
CMCC,About 7 million people a year die from:,"Outdoor pollution (e.g. machines, factories, etc.)",Outdoor pollution and indoor pollution,Indoor pollution (e.g. household air pollution,Floods,2,This is a test reference,Climate change fundamentals
CMCC,What are the elements behind the ONE HEALTH approach?,"Human, environmental and plant health",Human health and environmental health,Human and plant health,Plant health,1,This is a test reference,Climate change fundamentals
CMCC,What is the main nature of the observed climate change?,"The warming of our planet, which is manifested by an increase in its average temperature and an increase in rainfall all over the globe.","The change in the statistics of parameters such as temperature, precipitation and other variables that affect both their average value and their extreme values.","The warming of our planet, which is manifested by an increase in its average temperature and a decrease in rainfall all over the globe.",,2,This is a test reference,Climate change fundamentals
CMCC,What are the possible explanations for the climate change we are observing?,"What we are observing are only natural fluctuations in the climate, which have always been there and of which we also have evidence from paleo-climatic reconstructions carried out with the analysis of Antarctic ice cores.","What we are seeing is a climate change entirely caused by humans, whose activities have begun to interact with the global climate system since ancient times.","What we are observing is a climate change largely caused by human activities, especially those that, since the advent of the industrial age, have produced the emission of a large amount of greenhouse gases into the atmosphere.",,3,This is a test reference,Climate change fundamentals
CMCC,How does climate change manifest itself?,With a significant increase (or decrease) in the global average temperature of the planet that lasts at least 30 years.,With a variation in temperature and average rainfall that have an extension and duration over time that modify the balance of the observed climate.,"With a change in the statistics of meteorological and climatic events, which highlights changes in the characteristics of the averages and probabilities of occurrence of anomalous events, including extreme events.",,3,This is a test reference,Climate change fundamentals
CMCC,What is a numerical climate model?,"A plastic model that reproduces in the laboratory an environment similar to the terrestrial planet, with which to simulate the interaction between the components, using a gas for the atmosphere, liquid water for oceans, lakes and rivers and ice for glaciers.",A software program that numerically solves the physics equations that represent the various components of the climate system.,"A software program that uses observations of the state of the ocean, atmosphere, ice, and the Earth's surface (including vegetation) to infer the evolution of the climate system in the future.",,2,This is a test reference,Climate change fundamentals
CMCC,Why do we think that the CO2 emitted as a result of the use of fossil fuels and more generally of industrial activities is responsible for the climate change we are observing?,"Because CO2 is a greenhouse gas that interacts with the planet's energy balance by absorbing some of the Earth's radiation that the Earth emits into space. By increasing the concentration of CO2, human activities increase the ability of the atmosphere to absorb terrestrial radiation, thereby increasing its temperature.","Because CO2 is a greenhouse gas that interacts with the planet's energy balance by absorbing part of the solar radiation, which is the energy that powers the entire climate system. By increasing the concentration of CO2, human activities, therefore, increase the ability of the atmosphere to absorb solar radiation, causing warming.","Because CO2 is a pollutant that is emitted by burning fossil fuels and therefore poisons the atmosphere and, among other things, changes the planet's climate because it is released into the atmosphere at very high temperatures.",,1,This is a test reference,Climate change fundamentals
CMCC,What are the emission scenarios used in climate simulations?,"They are predictions of what the society of the future will probably look like, calculating how many emissions human activities will produce for different periods over the next two centuries.","These are scenarios produced by climate models in which a future climate is imagined and how many fossil fuels society will need to heat itself, to produce energy, food, etc., are calculated based on climatic conditions.","These are socio-economic scenarios, based on different plausible assumptions of demographic, economic, and technological development and the dynamics of interaction between countries and regions of the planet. For each of these different scenarios, emission pathways are then calculated that reflect the degree and manner of natural resource use.",,3,This is a test reference,Climate change fundamentals
CMCC,What are climate change projections?,They are future climate scenarios produced by climate models based on the greenhouse gas concentrations produced from emission scenarios corresponding to different socio-economic developments,"They are scenarios of plausible climate conditions for the future of the planet, which are used to calculate emissions scenarios.","They are future climate scenarios based on an extrapolation produced by models of the trend of climate change observed in the recent past, for the coming decades.",,1,This is a test reference,Climate change fundamentals
CMCC,What are extreme events?,These are the most destructive events that occur most frequently.,These are extremely negative and rare but very likely events.,"These events are exceptionally rare and, therefore, unlikely and very often involve serious impacts.",,3,This is a test reference,Climate change fundamentals
CMCC,Define resilience:,It is a planning tool that is activated to respond to climate emergencies,It is a community's ability to react to a shock and identify new solutions to a changing climate,It is a solution to the sudden shocks that affect urban areas,,2,This is a test reference,Climate change fundamentals
CMCC,In which year was the European Strategy on Adaptation to Climate Change published?,2007,2009,2013,2017,3,This is a test reference,Climate change fundamentals
CMCC,"The definition of ""indoor areas"" refers to:",Exclusively to the mountain areas of the Apennines,Villages with less than 5000 inhabitants throughout Italy,"Marginal territories, characterized by a significant distance from the service hubs",All of the above are correct,3,This is a test reference,Climate change fundamentals
CMCC,"The European Structural Funds, of which the Cohesion Fund for the implementation of the SNAI is a part, are managed:","Directly, with competitive calls to beneficiaries",Indirectly through the State and Regions,"In a hybrid way, depending on the type of action and territory concerned",,2,This is a test reference,Climate change fundamentals
CMCC,What is an ecosystem service?,A service to the environment,A benefit we get from ecosystems,A natural heritage,,2,This is a test reference,Climate change fundamentals
CMCC,What is the most effective tool that a company can use to make its compensation initiatives more credible:,A code of ethics,A third-party certification,An eye-catching marketing strategy,,2,This is a test reference,Climate change fundamentals
CMCC,How many pillars does the Horizon Europe programme have?,1,2,3,4,3,This is a test reference,Climate change fundamentals
CMCC,Which of the following are the horizontal topics of Horizon Europe?,EU Taxonomy,Climate change,Biodiversity conservation,Cultural diversity,1,This is a test reference,Climate change fundamentals
CMCC,What are the principles of the circular economy?,"Reduce, Reuse, Recycle, Maximize Value in Use, Extend Product Life",The main one is recycling,"Exchange, reduction, degrowth",,1,This is a test reference,Climate change fundamentals
CMCC,The objectives of the Circular Economy Package are:,The reduction of materials entering production systems,"It has targets for 2035, the most important of which is to reduce landfill waste to 25%",It has various targets in intermediate steps to increase the share of recycled material and reduce landfills to 10% by 2035,,3,This is a test reference,Climate change fundamentals
CMCC,The activity of social media listening serves to…,"Assess a brand's level of maturity on different dimensions of analysis (e.g., measurement, governance, advertising)","Among other things, to collect and analyze public and spontaneous conversations that take place online between users",Define the measurement model (key metrics) for the success of social media initiatives,,2,This is a test reference,Climate change fundamentals
CMCC,What is meant by digital brand architecture in marketing and communication?,A map of all the brand's channels and their targets and communication objectives,The definition of the technological architecture (hardware and software) that enables the brand to provide digital services,A detailed description of the relationship paths of different personas with the brand,,1,This is a test reference,Climate change fundamentals
CMCC,"What are nature-based solutions, and where should they be applied?",NBS is the set of nature-based solutions mainly applied at the urban scale for stormwater management.,"NBS is a set of nature-based solutions that provide multiple benefits (economic, social and environmental) and are applied from the urban scale to that of terrestrial and marine landscapes.",NBS are the only possible solution to reduce urban environmental criticalities.,None of the above answers are correct.,2,This is a test reference,Climate change fundamentals
CMCC,Which of the following sources do you regard as trustworthy?,The onion website.,The national meteorological service.,My father,An anonymous social media account,2,This is a test reference,Climate change fundamentals
CMCC,How do you verify information on issues related to climate change?,Rely solely on social media posts,Trust the opinion of non-exprerts,Check reputable scientific sources and peer-reviewed studies,Believe information from any website,3,This is a test reference,Climate change fundamentals
CMCC,"Myth or Fact? The earth’s climate has always changed, and current changes are part of a natural cycle.",Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,Myth or Fact? Global warming isn’t real as it’s still cold.,Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,"Myth or Fact? Human activities, such as burning fossil fuels, have contributed to the increase in greenhouse gas emissions.",Myth,Fact,,,2,This is a test reference,Climate change fundamentals
CMCC,Myth or Fact? Rising global temperatures and sea levels are observed consequences of climate change.,Myth,Fact,,,2,This is a test reference,Climate change fundamentals
CMCC,"Myth or Fact? The scientific consensus is that climate change is primarily caused by natural factors, not human activities.",Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,What is a potential consequence of melting glaciers due to climate change?,Decreased sea levels,Increased freshwater availability,Disruption of ecosystems,Reduced rainfall,3,This is a test reference,Climate change fundamentals
CMCC,Which statement best describes climate change adaptation?,Implementing strategies to prevent climate change from occurring,Adjusting to the effects of climate change to minimize damage,Stopping all human activities to reverse climate change impacts,Focusing on technological solutions to reverse climate change,2,This is a test reference,Climate change fundamentals
CMCC,What is the best way to verify information on climate change.,"logs, forums, or non-credible sources lacking scientific rigor or peer review",Trusting scientific studies that undergo peer review,Accepting Personal Opinions or Anecdotal Evidence,Relying Solely on Unverified Internet Sources,2,This is a test reference,Climate change fundamentals
CMCC,Which of the following is a consequence of deforestation in relation to climate change?,Decreased atmospheric carbon dioxide levels,Loss of biodiversity,Reduced greenhouse gas emissions,Increase in natural carbon sinks,2,This is a test reference,Climate change fundamentals
CMCC,What is the impact of climate change on extreme weather events?,Decrease in frequency and intensity,No correlation between climate change and extreme weather,Increase in frequency and intensity,Shift to more predictable weather patterns,3,This is a test reference,Climate change fundamentals
CMCC,What are potential consequences of rising sea levels due to climate change?,Increased coastal erosion,Expansion of coastal wetlands,Decreased impact on low-lying coastal areas,Enhanced stability of marine ecosystems,1,This is a test reference,Climate change fundamentals
CMCC,How does climate change impact agriculture?,Increased crop yields due to warmer temperatures,Reduced agricultural productivity and crop losses,Expansion of arable land,Decreased reliance on irrigation methods,2,This is a test reference,Climate change fundamentals
CMCC,Which factor contributes significantly to the occurrence of ocean acidification?,Increased phytoplankton populations,Decline in marine biodiversity,Excessive carbon dioxide absorption by seawater,Higher ocean salinity,3,This is a test reference,Climate change fundamentals
CMCC,What role do forests play in mitigating climate change?,Accelerating greenhouse gas emissions,Acting as carbon sinks by absorbing carbon dioxide,Increasing global warming by releasing methane,Limiting biodiversity loss but not affecting climate change,2,This is a test reference,Climate change fundamentals
CMCC,How does climate change affect human health?,Decreased risk of infectious diseases,Increased exposure to heatwaves and related illnesses,Improved air quality and respiratory health,Reduced occurrences of natural disasters,2,This is a test reference,Climate change fundamentals
CMCC,Which international agreement aims to combat climate change by reducing greenhouse gas emissions?,Kyoto Protocol,Vienna Convention,Warsaw Pact,Geneva Conventions,1,This is a test reference,Climate change fundamentals
CMCC,"Which international conference led to the development of the Kyoto Protocol, a major global treaty to address climate change?",United Nations Framework Convention on Climate Change (UNFCCC),Rio Earth Summit,Copenhagen Climate Conference,Paris Agreement Negotiations,2,This is a test reference,Climate change fundamentals
CMCC,Which international agreement focuses on limiting global temperature rise to well below 2 degrees Celsius above pre-industrial levels?,Rio Earth Summit,Marrakech Accords,Paris Agreement,Copenhagen Climate Conference,3,This is a test reference,Climate change fundamentals
CMCC,Which international climate agreement aimed to replace the Kyoto Protocol?,Copenhagen Climate Conference,Marrakech Accords,Paris Agreement,Bonn Agreement,3,This is a test reference,Climate change fundamentals
CMCC,Which of the following is an example of climate change mitigation?,Constructing dams to control floods,Planting trees in deforested areas,Building stronger levees to withstand storms,Developing early warning systems for natural disasters,2,This is a test reference,Climate change fundamentals
CMCC,How does climate change impact the frequency and intensity of hurricanes or typhoons?,Decreases their occurrence due to stabilized weather patterns,Increases their occurrence but reduces their intensity,Increases both their frequency and intensity,Has no impact on hurricanes or typhoons,3,This is a test reference,Climate change fundamentals
CMCC,What is the primary greenhouse gas emitted by human activities?,Methane,Carbon Dioxide,Nitrous Oxide,Hydrofluorocarbons (HFCs),2,This is a test reference,Climate change fundamentals
CMCC,How does climate change impact ocean currents and weather patterns?,Stabilizes ocean currents and weather patterns,Reduces ocean currents but amplifies weather patterns,Accelerates ocean currents but minimally affects weather patterns,Disrupts ocean currents and influences weather patterns,4,This is a test reference,Climate change fundamentals
CMCC,What is the primary cause of rising global sea levels due to climate change?,Decreased polar ice melting,Oceanic cooling,Thermal expansion of seawater,Reduced storm surges,3,This is a test reference,Climate change fundamentals
CMCC,How does climate change influence the spread of infectious diseases?,Reduces the spread of infectious diseases due to increased temperatures,Increases the spread of infectious diseases through vectors like mosquitoes,Has no impact on the spread of infectious diseases,Decreases the transmission of infectious diseases by altering climate patterns,2,This is a test reference,Climate change fundamentals
CMCC,"What is the primary cause of coral bleaching, impacting marine ecosystems due to climate change?",Increased ocean salinity,Rising sea levels,Ocean acidification and warming waters,Overfishing in coral reef regions,3,This is a test reference,Climate change fundamentals
CMCC,What is the primary source of carbon dioxide emissions caused by human activities?,Deforestation,Agriculture,Burning fossil fuels,Industrial manufacturing processes,3,This is a test reference,Climate change fundamentals
CMCC,How do forests help mitigate climate change?,By releasing excess carbon dioxide into the atmosphere,By acting as carbon sinks and absorbing carbon dioxide,By promoting desertification and soil erosion,By emitting methane and increasing greenhouse gases,2,This is a test reference,Climate change fundamentals
CMCC,What is a primary focus of climate adaptation?,Reversing climate change impacts entirely,Developing strategies solely based on technological advancements,Building resilience and reducing vulnerability to climate change impacts,Implementing short-term measures without considering long-term effects,3,This is a test reference,Climate change fundamentals
CMCC,Which of the following represents a climate adaptation measure?,Increasing deforestation to expand agricultural land,Establishing regulations that encourage high carbon emissions,Creating green infrastructure to manage stormwater and reduce flooding,Ignoring climate change impacts due to economic concerns,3,This is a test reference,Climate change fundamentals
CMCC,What is a crucial aspect of community-based climate adaptation?,Enforcing top-down decisions without community involvement,Relying exclusively on international aid and support,Engaging local communities in decision-making and implementation,Implementing measures irrespective of community preferences,3,This is a test reference,Climate change fundamentals
CMCC,What is a fundamental goal of climate adaptation?,Halting all consequences of climate change without exceptions,Adaptation measures to entirely prevent any climate change impacts,Resilience-building and reducing vulnerability to climate change effects,Reverting climate patterns to historical norms disregarding current changes,3,This is a test reference,Climate change fundamentals
CMCC,Which gas is often released during agricultural activities and contributes to greenhouse gas emissions?,Oxygen (O2),Methane (CH4),Hydrogen (H2),Carbon monoxide (CO),2,This is a test reference,Climate change fundamentals
CMCC,Which factor contributes most significantly to ocean acidification?,Decline in marine biodiversity,Increased oxygen levels in seawater,Higher levels of carbon dioxide absorption by oceans,Elevated levels of nitrous oxide in oceans,3,This is a test reference,Climate change fundamentals
CMCC,Myth or Fact? Climate change affects only the atmosphere and has no impact on the oceans.,Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,Myth or Fact? Climate change adaptation focuses solely on developing countries and not industrialized nations.,Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,Myth or Fact? Renewable energy sources are entirely immune to environmental consequences.,Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,Myth or Fact? Climate change adaptation measures are more about reacting to disasters than planning for long-term resilience.,Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,Myth or Fact? Carbon offsets allow individuals to completely negate their carbon footprint.,Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,Myth or Fact? Climate change adaptation strategies focus primarily on technological advancements rather than community-based approaches.,Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,"Myth or Fact: Deforestation significantly contributes to the increase in greenhouse gas emissions, thus impacting climate change.",Myth,Fact,,,2,This is a test reference,Climate change fundamentals
CMCC,"Myth or Fact: Renewable energy sources, such as solar and wind power, play a crucial role in mitigating climate change by reducing reliance on fossil fuels.",Myth,Fact,,,2,This is a test reference,Climate change fundamentals
CMCC,Myth or Fact: The warming of ocean temperatures due to climate change is causing the bleaching and degradation of coral reefs worldwide.,Myth,Fact,,,2,This is a test reference,Climate change fundamentals
CMCC,"Myth or Fact: The increase in greenhouse gas concentrations, driven by human activities, is a primary factor behind the observed warming trend over the past century.",Myth,Fact,,,1,This is a test reference,Climate change fundamentals
CMCC,Which of the following is not a primary greenhouse gas (GHG) associated with climate change?,Carbon Dioxide (CO2),Methane (CH?),Helium (He),Nitrious Oxide (N2O),3,This is a test reference,Climate change fundamentals
CMCC,What is a fossil fuel?,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 1,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 2,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 3,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 4,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 5,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 6,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 7,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 8,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 9,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 10,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 11,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 12,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 13,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 14,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
CMCC,This is a Generic question 15,Answer 1,Answer 2,Answer 3,Answer 4,2,This is a test reference,Climate change fundamentals
IIASA,What is the primary purpose of a carbon tax?,To subsidize fossil fuel industries,To penalize companies for water usage,To reduce carbon dioxide emissions by making fossil fuels more expensive,To fund renewable energy research,3,"Timilsina, G. R., Csordás, S., & Mevel, S. (2011). When does a carbon tax on fossil fuels stimulate biofuels?. Ecological Economics, 70(12), 2400-2415.",Climate change fundamentals
IIASA,Which of the following is a renewable energy source?,Coal,Natural gas,Solar power,Nuclear energy,3,"Khan, J., & Arsalan, M. H. (2016). Solar power technologies for sustainable electricity generation–A review. Renewable and Sustainable Energy Reviews, 55, 414-425.",Climate change fundamentals
IIASA,"What does ""carbon capture and storage"" (CCS) refer to?",Planting trees to absorb CO2,Reducing energy consumption in buildings,Recycling carbon-based materials,Capturing CO2 emissions from sources like power plants and storing them underground,4,"Benson, S. M., & Orr, F. M. (2008). Carbon dioxide capture and storage. MRS bulletin, 33(4), 303-305.",Climate change fundamentals
IIASA,Which sector is the largest contributor to global greenhouse gas emissions?,Energy production,Agriculture,Transportation,Residential heating,1,"https://www.epa.gov/ghgemissions/global-greenhouse-gas-overview#:~:text=Electricity%20and%20Heat%20Production%20(34,of%20global%20greenhouse%20gas%20emissions.",Climate change fundamentals
IIASA,What is climate justice?,Legal actions against polluters,"Addressing the ethical dimensions of climate change, ensuring fairness and equity",Increasing penalties for carbon emissions,Promoting renewable energy technologies,2,"Walker, S. E., Smith, E. A., Bennett, N., Bannister, E., Narayana, A., Nuckols, T., ... & Bailey, K. M. (2024). Defining and conceptualizing equity and justice in climate adaptation. Global Environmental Change, 87, 102885.",Climate change fundamentals
IIASA,Which international body assesses the science related to climate change?,World Health Organization (WHO),World Meteorological Organization (WMO),United Nations Development Programme (UNDP),Intergovernmental Panel on Climate Change (IPCC),4,https://www.ipcc.ch/,Climate change fundamentals
IIASA,Which of the following best describes an urban heat island?,A tropical island affected by rising sea levels,A city area significantly warmer than its rural surroundings,A coastal region experiencing increased temperatures,A protected area with minimal human impact,2,https://www.cambridge.org/core/books/climate-change-2022-impacts-adaptation-and-vulnerability/glossary/EB298BA71905BEC7462EA11BF4C4EA09,Climate change fundamentals
IIASA,How do oceans help regulate the Earth's climate?,By reflecting sunlight back into space,By producing oxygen through marine life,By preventing the formation of clouds,By absorbing and storing large amounts of CO2 and heat,4,"Feely, R. A., Sabine, C. L., Takahashi, T., & Wanninkhof, R. (2001). Uptake and storage of carbon dioxide in the ocean: The global co~ 2 survey. OCEANOGRAPHY-WASHINGTON DC-OCEANOGRAPHY SOCIETY-, 14(4), 18-32.",Climate change fundamentals
IIASA,What role do forests play in the carbon cycle?,They release carbon dioxide during photosynthesis,They store nitrogen from the atmosphere,They absorb carbon dioxide and store carbon,They prevent carbon from entering the soil,3,https://www.woodwellclimate.org/global-forest-carbon-storage-explained/,Climate change fundamentals
IIASA,Which technology is primarily used for measuring global temperature changes?,Seismographs,Satellites,Barometers,Anemometers,2,"Spencer, R. W., & Christy, J. R. (1990). Precise monitoring of global temperature trends from satellites. Science, 247(4950), 1558-1562.",Climate change fundamentals
IIASA,What is the main goal of the Paris Agreement?,To ban all fossil fuels by 2050,To limit global warming to well below 2 degrees Celsius above pre-industrial levels,To establish a global carbon tax,To fund renewable energy projects exclusively in Europe,2,"https://unfccc.int/most-requested/key-aspects-of-the-paris-agreement#:~:text=The%20Paris%20Agreement's%20central%20aim,further%20to%201.5%20degrees%20Celsius.",Climate change fundamentals
IIASA,Which of the following is considered a climate mitigation strategy?,Reducing greenhouse gas emissions,Building sea walls,Developing drought-resistant crops,Enhancing emergency response systems,1,"https://www.eea.europa.eu/en/topics/in-depth/climate-change-mitigation-reducing-emissions#:~:text=Mitigating%20climate%20change%20means%20reducing,important%20part%20of%20the%20solution.",Climate change fundamentals
IIASA,What is carbon footprint?,The amount of carbon stored in trees,"The total greenhouse gas emissions caused directly and indirectly by an individual, organization, event, or product",The footprint left by carbon particles on surfaces,The rate at which carbon is absorbed by the ocean,2,https://css.umich.edu/publications/factsheets/sustainability-indicators/carbon-footprint-factsheet,Climate change fundamentals
IIASA,What is sustainable transportation?,Transportation that relies solely on gasoline,Transportation systems that have a low environmental impact and are energy-efficient,Expanding highway networks,Increasing the number of vehicles on the road,2,https://www.energy.gov/eere/sustainable-transportation-and-fuels,Climate change fundamentals
IIASA,How does deforestation contribute to climate change?,By increasing oxygen production,By enhancing soil fertility,By decreasing methane emissions,By reducing the number of trees that can absorb CO2,4,"https://www.emission-index.com/deforestation/carbon-cycle#:~:text=Impact%20of%20human%20activities&text=Reduced%20sequestration%3A%20Fewer%20trees%20mean,ability%20to%20balance%20atmospheric%20carbon.",Climate change fundamentals
IIASA,Which of the following is a consequence of permafrost thawing?,Decreased sea levels,Release of trapped methane and CO2,Increased forest cover,Reduction in ocean acidification,2,"Natali, S. M., Schuur, E. A., Mauritz, M., Schade, J. D., Celis, G., Crummer, K. G., ... & Webb, E. E. (2015). Permafrost thaw and soil moisture driving CO2 and CH4 release from upland tundra. Journal of Geophysical Research: Biogeosciences, 120(3), 525-537.",Climate change fundamentals
IIASA,What is carbon neutrality?,Balancing emitted carbon with an equivalent amount sequestered or offset,Eliminating all carbon emissions,Increasing carbon emissions sustainably,Reducing carbon emissions by 50%,1,https://www.europarl.europa.eu/topics/en/article/20190926STO62270/what-is-carbon-neutrality-and-how-can-it-be-achieved-by-2050,Climate change fundamentals
IIASA,What is the main objective of the Montreal Protocol?,Reduce carbon emissions,Protect the ozone layer by phasing out ozone-depleting substances,Promote renewable energy,Enhance carbon sequestration in forests,2,https://ozone.unep.org/treaties/montreal-protocol,Climate change fundamentals
IIASA,Which of the following is a direct consequence of ocean warming?,Increased ice formation,Decreased marine biodiversity,Coral bleaching,Reduced sea levels,3,"https://oceanservice.noaa.gov/facts/coral_bleach.html#:~:text=Change%20in%20ocean%20temperature%20Increased,can%20bleach%20near-shore%20corals.",Climate change fundamentals
IIASA,Which country is the largest emitter of carbon dioxide as of 2023?,United States,China,India,Germany,2,https://www.iea.org/reports/co2-emissions-in-2023/the-changing-landscape-of-global-emissions,Climate change fundamentals
IIASA,What is extinction debt?,Financial losses due to climate disasters,Debt incurred by countries for climate mitigation,Loss of genetic diversity in crops,The future extinction of species due to past habitat loss,4,"Kuussaari, M., Bommarco, R., Heikkinen, R. K., Helm, A., Krauss, J., Lindborg, R., ... & Steffan-Dewenter, I. (2009). Extinction debt: a challenge for biodiversity conservation. Trends in ecology & evolution, 24(10), 564-571.",Climate change fundamentals
IIASA,Which sector is the largest consumer of freshwater resources globally?,Agricultural,Industrial,Residential,Energy production,1,"https://blogs.worldbank.org/en/opendata/strains-freshwater-resources-impact-food-production-water-consumption#:~:text=The%20large%20amount%20of%20water,resources%20are%20used%20for%20agriculture.",Climate change fundamentals
IIASA,What is carbon leakage?,The accidental release of CO? from storage sites,The transfer of carbon emissions from one country to another due to climate policies,The loss of carbon in forest ecosystems,The escape of carbon from vehicles,2,"https://climate.ec.europa.eu/eu-action/eu-emissions-trading-system-eu-ets/free-allocation/carbon-leakage_en#:~:text=Carbon%20leakage%20refers%20to%20the,increase%20in%20their%20total%20emissions.",Climate change fundamentals
