question,answer1,answer2,answer3,answer4,correctAnswer
Why do we think that the CO2 emitted as a result of the use of fossil fuels and more generally of industrial activities is responsible for the climate change we are observing?,"Because CO2 is a greenhouse gas that interacts with the planet's energy balance by absorbing some of the Earth's radiation that the Earth emits into space. By increasing the concentration of CO2, human activities increase the ability of the atmosphere to absorb terrestrial radiation, thereby increasing its temperature.","Because CO2 is a greenhouse gas that interacts with the planet's energy balance by absorbing part of the solar radiation, which is the energy that powers the entire climate system. By increasing the concentration of CO2, human activities, therefore, increase the ability of the atmosphere to absorb solar radiation, causing warming.","Because CO2 is a pollutant that is emitted by burning fossil fuels and therefore poisons the atmosphere and, among other things, changes the planet's climate because it is released into the atmosphere at very high temperatures.",,1
What are the emission scenarios used in climate simulations?,"They are predictions of what the society of the future will probably look like, calculating how many emissions human activities will produce for different periods over the next two centuries.","These are scenarios produced by climate models in which a future climate is imagined and how many fossil fuels society will need to heat itself, to produce energy, food, etc., are calculated based on climatic conditions.","These are socio-economic scenarios, based on different plausible assumptions of demographic, economic, and technological development and the dynamics of interaction between countries and regions of the planet. For each of these different scenarios, emission pathways are then calculated that reflect the degree and manner of natural resource use.",,3
What are climate change projections?,They are future climate scenarios produced by climate models based on the greenhouse gas concentrations produced from emission scenarios corresponding to different socio-economic developments,"They are scenarios of plausible climate conditions for the future of the planet, which are used to calculate emissions scenarios.","They are future climate scenarios based on an extrapolation produced by models of the trend of climate change observed in the recent past, for the coming decades.",,1
What are extreme events?,These are the most destructive events that occur most frequently.,These are extremely negative and rare but very likely events.,"These events are exceptionally rare and, therefore, unlikely and very often involve serious impacts.",,3
Define resilience:,It is a planning tool that is activated to respond to climate emergencies,It is a community's ability to react to a shock and identify new solutions to a changing climate,It is a solution to the sudden shocks that affect urban areas,,2
In which year was the European Strategy on Adaptation to Climate Change published?,2007,2009,2013,2017,3
"The definition of ""indoor areas"" refers to:",Exclusively to the mountain areas of the Apennines,Villages with less than 5000 inhabitants throughout Italy,"Marginal territories, characterized by a significant distance from the service hubs",All of the above are correct,3
"The European Structural Funds, of which the Cohesion Fund for the implementation of the SNAI is a part, are managed:","Directly, with competitive calls to beneficiaries",Indirectly through the State and Regions,"In a hybrid way, depending on the type of action and territory concerned",,2
What is an ecosystem service?,A service to the environment,A benefit we get from ecosystems,A natural heritage,,2
What is the most effective tool that a company can use to make its compensation initiatives more credible:,A code of ethics,A third-party certification,An eye-catching marketing strategy,,2
How many pillars does the Horizon Europe programme have?,1,2,3,4,3
Which of the following are the horizontal topics of Horizon Europe?,EU Taxonomy,Climate change,Biodiversity conservation,Cultural diversity,1
What are the principles of the circular economy?,"Reduce, Reuse, Recycle, Maximize Value in Use, Extend Product Life",The main one is recycling,"Exchange, reduction, degrowth",,1
The objectives of the Circular Economy Package are:,The reduction of materials entering production systems,"It has targets for 2035, the most important of which is to reduce landfill waste to 25%",It has various targets in intermediate steps to increase the share of recycled material and reduce landfills to 10% by 2035,,3
The activity of social media listening serves to…,"Assess a brand's level of maturity on different dimensions of analysis (e.g., measurement, governance, advertising)","Among other things, to collect and analyze public and spontaneous conversations that take place online between users",Define the measurement model (key metrics) for the success of social media initiatives,,2
What is meant by digital brand architecture in marketing and communication?,A map of all the brand's channels and their targets and communication objectives,The definition of the technological architecture (hardware and software) that enables the brand to provide digital services,A detailed description of the relationship paths of different personas with the brand,,1
"What are nature-based solutions, and where should they be applied?",NBS is the set of nature-based solutions mainly applied at the urban scale for stormwater management.,"NBS is a set of nature-based solutions that provide multiple benefits (economic, social and environmental) and are applied from the urban scale to that of terrestrial and marine landscapes.",NBS are the only possible solution to reduce urban environmental criticalities.,None of the above answers are correct.,2
Which of the following sources do you regard as trustworthy?,The onion website.,The national meteorological service.,My father,An anonymous social media account,2
How do you verify information on issues related to climate change?,Rely solely on social media posts,Trust the opinion of non-exprerts,Check reputable scientific sources and peer-reviewed studies,Believe information from any website,3
"Myth or Fact? The earth’s climate has always changed, and current changes are part of a natural cycle.",Myth,Fact,,,1
Myth or Fact? Global warming isn’t real as it’s still cold.,Myth,Fact,,,1
"Myth or Fact? Human activities, such as burning fossil fuels, have contributed to the increase in greenhouse gas emissions.",Myth,Fact,,,2
Myth or Fact? Rising global temperatures and sea levels are observed consequences of climate change.,Myth,Fact,,,2
"Myth or Fact? The scientific consensus is that climate change is primarily caused by natural factors, not human activities.",Myth,Fact,,,1
What is a potential consequence of melting glaciers due to climate change?,Decreased sea levels,Increased freshwater availability,Disruption of ecosystems,Reduced rainfall,3
Which statement best describes climate change adaptation?,Implementing strategies to prevent climate change from occurring,Adjusting to the effects of climate change to minimize damage,Stopping all human activities to reverse climate change impacts,Focusing on technological solutions to reverse climate change,2
What is the best way to verify information on climate change.,"logs, forums, or non-credible sources lacking scientific rigor or peer review",Trusting scientific studies that undergo peer review,Accepting Personal Opinions or Anecdotal Evidence,Relying Solely on Unverified Internet Sources,2
Which of the following is a consequence of deforestation in relation to climate change?,Decreased atmospheric carbon dioxide levels,Loss of biodiversity,Reduced greenhouse gas emissions,Increase in natural carbon sinks,2
What is the impact of climate change on extreme weather events?,Decrease in frequency and intensity,No correlation between climate change and extreme weather,Increase in frequency and intensity,Shift to more predictable weather patterns,3
What are potential consequences of rising sea levels due to climate change?,Increased coastal erosion,Expansion of coastal wetlands,Decreased impact on low-lying coastal areas,Enhanced stability of marine ecosystems,1
How does climate change impact agriculture?,Increased crop yields due to warmer temperatures,Reduced agricultural productivity and crop losses,Expansion of arable land,Decreased reliance on irrigation methods,2
Which factor contributes significantly to the occurrence of ocean acidification?,Increased phytoplankton populations,Decline in marine biodiversity,Excessive carbon dioxide absorption by seawater,Higher ocean salinity,3
What role do forests play in mitigating climate change?,Accelerating greenhouse gas emissions,Acting as carbon sinks by absorbing carbon dioxide,Increasing global warming by releasing methane,Limiting biodiversity loss but not affecting climate change,2
How does climate change affect human health?,Decreased risk of infectious diseases,Increased exposure to heatwaves and related illnesses,Improved air quality and respiratory health,Reduced occurrences of natural disasters,2
Which international agreement aims to combat climate change by reducing greenhouse gas emissions?,Kyoto Protocol,Vienna Convention,Warsaw Pact,Geneva Conventions,1
"Which international conference led to the development of the Kyoto Protocol, a major global treaty to address climate change?",United Nations Framework Convention on Climate Change (UNFCCC),Rio Earth Summit,Copenhagen Climate Conference,Paris Agreement Negotiations,2
Which international agreement focuses on limiting global temperature rise to well below 2 degrees Celsius above pre-industrial levels?,Rio Earth Summit,Marrakech Accords,Paris Agreement,Copenhagen Climate Conference,3
Which international climate agreement aimed to replace the Kyoto Protocol?,Copenhagen Climate Conference,Marrakech Accords,Paris Agreement,Bonn Agreement,3
Which of the following is an example of climate change mitigation?,Constructing dams to control floods,Planting trees in deforested areas,Building stronger levees to withstand storms,Developing early warning systems for natural disasters,2
How does climate change impact the frequency and intensity of hurricanes or typhoons?,Decreases their occurrence due to stabilized weather patterns,Increases their occurrence but reduces their intensity,Increases both their frequency and intensity,Has no impact on hurricanes or typhoons,3
What is the primary greenhouse gas emitted by human activities?,Methane,Carbon Dioxide,Nitrous Oxide,Hydrofluorocarbons (HFCs),2
How does climate change impact ocean currents and weather patterns?,Stabilizes ocean currents and weather patterns,Reduces ocean currents but amplifies weather patterns,Accelerates ocean currents but minimally affects weather patterns,Disrupts ocean currents and influences weather patterns,4
What is the primary cause of rising global sea levels due to climate change?,Decreased polar ice melting,Oceanic cooling,Thermal expansion of seawater,Reduced storm surges,3
How does climate change influence the spread of infectious diseases?,Reduces the spread of infectious diseases due to increased temperatures,Increases the spread of infectious diseases through vectors like mosquitoes,Has no impact on the spread of infectious diseases,Decreases the transmission of infectious diseases by altering climate patterns,2
"What is the primary cause of coral bleaching, impacting marine ecosystems due to climate change?",Increased ocean salinity,Rising sea levels,Ocean acidification and warming waters,Overfishing in coral reef regions,3
What is the primary source of carbon dioxide emissions caused by human activities?,Deforestation,Agriculture,Burning fossil fuels,Industrial manufacturing processes,3
How do forests help mitigate climate change?,By releasing excess carbon dioxide into the atmosphere,By acting as carbon sinks and absorbing carbon dioxide,By promoting desertification and soil erosion,By emitting methane and increasing greenhouse gases,2
What is a primary focus of climate adaptation?,Reversing climate change impacts entirely,Developing strategies solely based on technological advancements,Building resilience and reducing vulnerability to climate change impacts,Implementing short-term measures without considering long-term effects,
Which of the following represents a climate adaptation measure?,Increasing deforestation to expand agricultural land,Establishing regulations that encourage high carbon emissions,Creating green infrastructure to manage stormwater and reduce flooding,Ignoring climate change impacts due to economic concerns,
What is a crucial aspect of community-based climate adaptation?,Enforcing top-down decisions without community involvement,Relying exclusively on international aid and support,Engaging local communities in decision-making and implementation,Implementing measures irrespective of community preferences,
What is a fundamental goal of climate adaptation?,Halting all consequences of climate change without exceptions,Adaptation measures to entirely prevent any climate change impacts,Resilience-building and reducing vulnerability to climate change effects,Reverting climate patterns to historical norms disregarding current changes,3
Which gas is often released during agricultural activities and contributes to greenhouse gas emissions?,Oxygen (O2),Methane (CH4),Hydrogen (H2),Carbon monoxide (CO),2
Which factor contributes most significantly to ocean acidification?,Decline in marine biodiversity,Increased oxygen levels in seawater,Higher levels of carbon dioxide absorption by oceans,Elevated levels of nitrous oxide in oceans,3
Myth or Fact? Climate change affects only the atmosphere and has no impact on the oceans.,Myth,Fact,,,1
Myth or Fact? Climate change adaptation focuses solely on developing countries and not industrialized nations.,Myth,Fact,,,1
Myth or Fact? Renewable energy sources are entirely immune to environmental consequences.,Myth,Fact,,,1
Myth or Fact? Climate change adaptation measures are more about reacting to disasters than planning for long-term resilience.,Myth,Fact,,,1
Myth or Fact? Carbon offsets allow individuals to completely negate their carbon footprint.,Myth,Fact,,,1
Myth or Fact? Climate change adaptation strategies focus primarily on technological advancements rather than community-based approaches.,Myth,Fact,,,1
"Myth or Fact: Deforestation significantly contributes to the increase in greenhouse gas emissions, thus impacting climate change.",Myth,Fact,,,2
"Myth or Fact: Renewable energy sources, such as solar and wind power, play a crucial role in mitigating climate change by reducing reliance on fossil fuels.",Myth,Fact,,,2
Myth or Fact: The warming of ocean temperatures due to climate change is causing the bleaching and degradation of coral reefs worldwide.,Myth,Fact,,,2
"Myth or Fact: The increase in greenhouse gas concentrations, driven by human activities, is a primary factor behind the observed warming trend over the past century.",Myth,Fact,,,1
