entity,question,answer1,answer2,answer3,answer4,correctAnswer,reference,category
CMCC,"The definition of ""inner areas"" refers to:",Exclusively to the mountain areas of the Apennines,Villages with less than 5000 inhabitants throughout Italy,"Marginal territories, characterized by a significant distance from the service hubs",All of the above are correct,3,https://doi.org/10.3390/land11081181,Climate change fundamentals
CMCC,Which of these is an example of climate change evidence?,Rising temperatures,Increased storms,Warming oceans,All of the above,4,https://science.nasa.gov/climate-change/evidence/ ,Climate change fundamentals
CMCC,What is an ecosystem service?,A service to the environment,A benefit we get from ecosystems,A natural heritage,,2,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Understanding-Conservation/Ecosystem-Services ,Climate change fundamentals
CMCC,What is a green economy?,"A low carbon, resource efficient and socially inclusive economy",An economy that has green money,A sustainable economy,An economy that has high profits,1,https://www.unep.org/regions/asia-and-pacific/regional-initiatives/supporting-resource-efficiency/green-economy ,Climate change fundamentals
CMCC,How many pillars does the Horizon Europe programme have?,1,2,3,4,3,"https://www.consilium.europa.eu/en/policies/horizon-europe/#:~:text=Horizon%20Europe%20is%20made%20up,innovative%20Europe ",Climate change fundamentals
CMCC,Which of the following is NOT a pillar of the Horizon Europe programme?,Excellent Science,Innovative Europe,Sustainability,Global challenges and European industrial competitiveness,3,"https://www.consilium.europa.eu/en/policies/horizon-europe/#:~:text=Horizon%20Europe%20is%20made%20up,innovative%20Europe%20 ",Climate change fundamentals
CMCC,What are the principles of the circular economy?,"Reduce, Reuse, Recycle; to  Maximize Value in Use and Extend Product Life",The main one is recycling,"Exchange, reduction, degrowth",,1,"https://www.europarl.europa.eu/topics/en/article/20151201STO05603/circular-economy-definition-importance-and-benefits#:~:text=What%20is%20the%20circular%20economy,cycle%20of%20products%20is%20extended. ",Climate change fundamentals
CMCC,The aim of the Circular Economy Package is:,To reduce materials entering production systems,"It has targets for 2035, the most important of which is to reduce landfill waste to 25%","Madke sustainable products the norm in the EU, to empower consumers and buyers, to ensure less waste, and lead global efforts on circular economy",,3,https://environment.ec.europa.eu/strategy/circular-economy-action-plan_en ,Climate change fundamentals
CMCC,What are climate data records?,Records that show climate change is a natural occurrence ,"Records that provide trustworthy information on how, where, and to what extent the land, oceans, atmosphere, and ice sheets are changing",Data that proves climate change is caused by humans,,2,https://www.ncei.noaa.gov/products/climate-data-records ,Climate change fundamentals
CMCC,What is anthropogenic climate change?,Climate change caused by human activity,Climate change caused by natural phenomena,Climate change that happened in the past,Climate change that is specific to a region,1,https://energyeducation.ca/encyclopedia/Natural_vs_anthropogenic_climate_change ,Climate change fundamentals
CMCC,What are nature-based solutions?,NBS is the set of nature-based solutions mainly applied at the urban scale for stormwater management.,"Solutions that provide multiple benefits (economic, social and environmental); they are actions that are underpinned by biodiversity and designed and implemented in a way that respects the rights, values, and knoweldges of local communities and indigenous peoples",NBS are the only possible solution to reduce urban environmental criticalities.,None of the above answers are correct.,2,https://www.naturebasedsolutionsinitiative.org/what-are-nature-based-solutions ,Climate change fundamentals
CMCC,What is an example of a nature-based solution?,Using mangroves to reduce storm impact,River restoration for flood management,Planting seagrass to increase biodiversity and absorb carbon,All of the above,4, https://www.naturebasedsolutionsinitiative.org/research/examples-of-nature-based-solutions,Climate change fundamentals
CMCC,How do you verify information on issues related to climate change?,Rely solely on social media posts,Trust the opinion of non-exprerts,Check reputable scientific sources and peer-reviewed studies,Believe information from any website,3,"https://www.un.org/en/climatechange/communicating-climate-change#:~:text=Check%20your%20sources.&text=Peer%2Dreviewed%20articles%20(reviewed%20by,provide%20the%20most%20reliable%20information. ",Climate change fundamentals
CMCC,"Myth or Fact? The earth’s climate has always changed, and current changes are part of a natural cycle.",Myth,Fact,,,1,https://royalsociety.org/news-resources/projects/climate-change-evidence-causes/question-6/ ,Climate change fundamentals
CMCC,Myth or Fact? Global warming isn’t real as it’s still cold.,Myth,Fact,,,1,https://www.wwf.org.uk/updates/here-are-10-myths-about-climate-change ,Climate change fundamentals
CMCC,"Myth or Fact? Human activities, such as burning fossil fuels, have contributed to the increase in greenhouse gas emissions.",Myth,Fact,,,2,https://youtu.be/G4H1N_yXBiA?feature=shared ,Climate change fundamentals
CMCC,Myth or Fact? Rising global temperatures and sea levels are observed consequences of climate change.,Myth,Fact,,,2,https://climate.ec.europa.eu/climate-change/consequences-climate-change_en ,Climate change fundamentals
CMCC,"Myth or Fact? The scientific consensus is that climate change is primarily caused by natural factors, not human activities.",Myth,Fact,,,1,https://science.nasa.gov/climate-change/faq/do-scientists-agree-on-climate-change/ ,Climate change fundamentals
CMCC,What is a potential consequence of melting glaciers due to climate change?,Decreased sea levels,Increased freshwater availability,Disruption of ecosystems,Reduced rainfall,3,https://nsidc.org/learn/parts-cryosphere/glaciers/why-glaciers-matter ,Climate change fundamentals
CMCC,Which statement best describes climate change adaptation?,Implementing strategies to prevent climate change from occurring,Adjusting to the effects of climate change to minimize damage,Stopping all human activities to reverse climate change impacts,Focusing on technological solutions to reverse climate change,2,"https://climatepromise.undp.org/news-and-stories/what-climate-change-adaptation-and-why-it-crucial#:~:text=Climate%20change%20adaptation%20refers%20to,or%20food%20and%20water%20insecurity. ",Climate change fundamentals
CMCC,What is the best way to verify information on climate change?,"Blogs, forums, or non-credible sources lacking scientific rigor or peer review",Trusting scientific studies that undergo peer review,Accepting Personal Opinions or Anecdotal Evidence,Relying Solely on Unverified Internet Sources,2,https://www.un.org/en/climatechange/communicating-climate-change ,Climate change fundamentals
CMCC,Which of the following is a consequence of deforestation in relation to climate change?,Decreased atmospheric carbon dioxide levels,Loss of biodiversity,Reduced greenhouse gas emissions,Increase in natural carbon sinks,2,"https://www.roundsquare.org/ideals-challenge/round-square-environmentalism-sessions/task-five/biodiversity-and-deforestation/#:~:text=Deforestation%20can%20directly%20lead%20to,plant%20species%20in%20an%20environment. ",Climate change fundamentals
CMCC,What is the impact of climate change on extreme weather events?,Decrease in frequency and intensity,No correlation between climate change and extreme weather,Increase in frequency and intensity,Shift to more predictable weather patterns,3,https://iopscience.iop.org/article/10.1088/2752-5295/ac6e7d/pdf ,Climate change fundamentals
CMCC,What are potential consequences of rising sea levels due to climate change?,Increased coastal erosion,Expansion of coastal wetlands,Decreased impact on low-lying coastal areas,Enhanced stability of marine ecosystems,1,https://www.un.org/en/climatechange/science/climate-issues/ocean-impacts ,Climate change fundamentals
CMCC,How does climate change impact agriculture?,Increased crop yields due to warmer temperatures,Reduced agricultural productivity and crop losses,Expansion of arable land,Decreased reliance on irrigation methods,2,https://www.umweltbundesamt.de/en/topics/climate-energy/climate-change-adaptation/impacts-of-climate-change/climate-impacts-germany/climate-impacts-field-of-action-agriculture#abiotic-stress-in-cultivated-plants ,Climate change fundamentals
CMCC,Which factor contributes significantly to the occurrence of ocean acidification?,Increased phytoplankton populations,Decline in marine biodiversity,Excessive carbon dioxide absorption by seawater,Higher ocean salinity,3,https://youtu.be/0a2QNmKeVQQ?feature=shared ,Climate change fundamentals
CMCC,What role do forests play in mitigating climate change?,Accelerating greenhouse gas emissions,Acting as carbon sinks by absorbing carbon dioxide,Increasing global warming by releasing methane,Limiting biodiversity loss but not affecting climate change,2,https://youtu.be/mT3UDpjFJWo?feature=shared ,Climate change fundamentals
CMCC,How does climate change affect human health?,Decreased risk of infectious diseases,Increased exposure to heatwaves and related illnesses,Improved air quality and respiratory health,Reduced occurrences of natural disasters,2,"https://www.cdc.gov/climate-health/php/effects/index.html#:~:text=The%20health%20effects%20of%20these,and%20threats%20to%20mental%20health. ",Climate change fundamentals
CMCC,Which international agreement aims to combat climate change by reducing greenhouse gas emissions?,Kyoto Protocol,Vienna Convention,Warsaw Pact,Geneva Conventions,1,https://www.britannica.com/event/Kyoto-Protocol ,Climate change fundamentals
CMCC,"Which international conference led to the development of the Kyoto Protocol, a major global treaty to address climate change?",United Nations Framework Convention on Climate Change (UNFCCC),Rio Earth Summit,Copenhagen Climate Conference,Paris Agreement Negotiations,1,https://youtu.be/hBG1GX_olrQ?feature=shared ,Climate change fundamentals
CMCC,Which international agreement focuses on limiting global temperature rise to well below 2 degrees Celsius above pre-industrial levels?,Rio Earth Summit,Marrakech Accords,Paris Agreement,Copenhagen Climate Conference,3,"https://unfccc.int/process-and-meetings/the-paris-agreement#:~:text=The%20Paris%20Agreement%20is%20a,force%20on%204%20November%202016. ",Climate change fundamentals
CMCC,Which international climate agreement aimed to replace the Kyoto Protocol?,Copenhagen Climate Conference,Marrakech Accords,Paris Agreement,Bonn Agreement,3,"https://legal.un.org/avl/ha/pa/pa.html#:~:text=Although%20the%201997%20Kyoto%20Protocol,global%20response%20to%20climate%20change. ",Climate change fundamentals
CMCC,Which of the following is an example of climate change mitigation?,Constructing dams to control floods,Planting trees in deforested areas,Building stronger levees to withstand storms,Developing early warning systems for natural disasters,2,"https://www.eea.europa.eu/en/topics/in-depth/climate-change-mitigation-reducing-emissions#:~:text=Mitigating%20climate%20change%20means%20reducing,important%20part%20of%20the%20solution. ",Climate change fundamentals
CMCC,How does climate change impact the frequency and intensity of hurricanes or typhoons?,Decreases their occurrence due to stabilized weather patterns,Increases their occurrence but reduces their intensity,Increases both their frequency and intensity,Has no impact on hurricanes or typhoons,3, https://www.c2es.org/content/hurricanes-and-climate-change/ ,Climate change fundamentals
CMCC,What is the primary greenhouse gas emitted by human activities?,Methane,Carbon Dioxide,Nitrous Oxide,Hydrofluorocarbons (HFCs),2,"https://www.epa.gov/ghgemissions/overview-greenhouse-gases#:~:text=Carbon%20dioxide%20(CO2)%20is,gas%20emitted%20through%20human%20activities. ",Climate change fundamentals
CMCC,How does climate change impact ocean currents and weather patterns?,Stabilizes ocean currents and weather patterns,Reduces ocean currents but amplifies weather patterns,Accelerates ocean currents but minimally affects weather patterns,Disrupts ocean currents and influences weather patterns,4,https://oceanexplorer.noaa.gov/facts/climate.html ,Climate change fundamentals
CMCC,What is the primary cause of rising global sea levels due to climate change?,Decreased polar ice melting,Oceanic cooling,Thermal expansion of seawater,Reduced storm surges,3,"https://climate.nasa.gov/vital-signs/sea-level/?intent=121#:~:text=Sea%20level%20rise%20is%20caused,1993%2C%20as%20observed%20by%20satellites. ",Climate change fundamentals
CMCC,How does climate change influence the spread of infectious diseases?,Reduces the spread of infectious diseases due to increased temperatures,Increases the spread of infectious diseases through vectors like mosquitoes,Has no impact on the spread of infectious diseases,Decreases the transmission of infectious diseases by altering climate patterns,2,https://youtu.be/hn7AxAV3c4I?feature=shared ,Climate change fundamentals
CMCC,"What is the primary cause of coral bleaching, impacting marine ecosystems due to climate change?",Increased ocean salinity,Rising sea levels,Ocean acidification and warming waters,Overfishing in coral reef regions,3,"https://oceanservice.noaa.gov/facts/coral_bleach.html#:~:text=Change%20in%20ocean%20temperature%20Increased,can%20bleach%20near%2Dshore%20corals. ",Climate change fundamentals
CMCC,What is the primary source of carbon dioxide emissions caused by human activities?,Deforestation,Agriculture,Burning fossil fuels,Industrial manufacturing processes,3,"https://www.c2es.org/content/international-emissions/#:~:text=Carbon%20dioxide%20emissions%2C%20primarily%20from,relatively%20small%20number%20of%20countries. ",Climate change fundamentals
CMCC,What percent of all marine pollution is plastic waste?,80%,50%,20%,5%,1,https://oceanliteracy.unesco.org/plastic-pollution-ocean/ ,Climate change fundamentals
CMCC,What is a primary focus of climate adaptation?,Reversing climate change impacts entirely,Developing strategies solely based on technological advancements,Building resilience and reducing vulnerability to climate change impacts,Implementing short-term measures without considering long-term effects,3,https://gca.org/what-is-climate-adaptation/ ,Climate change fundamentals
CMCC,Which of the following represents a climate adaptation measure?,Increasing deforestation to expand agricultural land,Establishing regulations that encourage high carbon emissions,"Building and upgrading dams, levees, and other water infrastructure to protect against floodinga nd increase water storage capacity ",Ignoring climate change impacts due to economic concerns,3,https://gca.org/what-is-climate-adaptation/#water ,Climate change fundamentals
CMCC,What is a crucial aspect of community-based climate adaptation?,Enforcing top-down decisions without community involvement,Relying exclusively on international aid and support,Engaging local communities in decision-making and implementation,Implementing measures irrespective of community preferences,3,https://gca.org/wp-content/uploads/2020/12/Local_Adaptation_Paper_-_Global_Commission_on_Adaptation.pdf ,Climate change fundamentals
CMCC,Why is local knowledge useful for climate change solutions?,Local knowledge can help identify vulnerable areas and social groups,Local knowledge can help capture and validate historic and observed changes in weather patterns,"Local knowledge can highlight local skills, pracitces, and resources",All of the above,4,https://gca.org/wp-content/uploads/2020/12/Local_Adaptation_Paper_-_Global_Commission_on_Adaptation.pdf ,Climate change fundamentals
CMCC,Which gas is often released during agricultural activities and contributes to greenhouse gas emissions?,Oxygen (O2),Methane (CH4),Hydrogen (H2),Carbon monoxide (CO),2,"https://www.epa.gov/ghgemissions/sources-greenhouse-gas-emissions#:~:text=Livestock%2C%20especially%20ruminants%20such%20as,emissions%20from%20the%20Agriculture%20sector. ",Climate change fundamentals
CMCC,What is a carbon offset?,"A tradeable ""right"" or certificate linked to activities that lower the amount of CO2 in the atmosphere",When an act absorbs more carbon than it emits,When you produce more carbon than you are absorbing ,,1,https://climate.mit.edu/explainers/carbon-offsets ,Climate change fundamentals
CMCC,Myth or Fact? Climate change affects only the atmosphere and has no impact on the oceans.,Myth,Fact,,,1,https://www.un.org/en/climatechange/science/climate-issues/ocean-impacts ,Climate change fundamentals
CMCC,Myth or Fact? Climate change adaptation focuses solely on developing countries and not industrialized nations.,Myth,Fact,,,1,https://www.eib.org/en/stories/developing-countries-climate-adaptation ,Climate change fundamentals
CMCC,Myth or Fact? Renewable energy sources are entirely immune to environmental consequences.,Myth,Fact,,,1,https://www.wilderness.org/news/blog/faq-what-are-environmental-impacts-renewable-energy# ,Climate change fundamentals
CMCC,Myth or Fact? Climate change adaptation measures are more about reacting to disasters than planning for long-term resilience.,Myth,Fact,,,1,https://unfccc.int/topics/adaptation-and-resilience/the-big-picture/introduction ,Climate change fundamentals
CMCC,Myth or Fact? Carbon offsets allow individuals to completely negate their carbon footprint.,Myth,Fact,,,1,https://climate.mit.edu/explainers/carbon-offsets ,Climate change fundamentals
CMCC,Myth or Fact? Climate change adaptation strategies focus primarily on technological advancements rather than community-based approaches.,Myth,Fact,,,1,https://www.undp.org/publications/community-based-adaptation-climate-change ,Climate change fundamentals
CMCC,"Myth or Fact: Deforestation significantly contributes to the increase in greenhouse gas emissions, thus impacting climate change.",Myth,Fact,,,2,https://climate.ec.europa.eu/climate-change/causes-climate-change_en ,Climate change fundamentals
CMCC,"Myth or Fact: Renewable energy sources, such as solar and wind power, play a crucial role in mitigating climate change by reducing reliance on fossil fuels.",Myth,Fact,,,2,"https://natccc.gov.ng/energy-transition-climate-change/#:~:text=By%20transitioning%20from%20fossil%20fuels,warming%20and%20limit%20temperature%20rise. ",Climate change fundamentals
CMCC,Myth or Fact: The warming of ocean temperatures due to climate change is causing the bleaching and degradation of coral reefs worldwide.,Myth,Fact,,,2,https://oceanservice.noaa.gov/facts/coralreef-climate.html ,Climate change fundamentals
CMCC,"Myth or Fact: The increase in greenhouse gas concentrations, driven by human activities, is a primary factor behind the observed warming trend over the past century.",Myth,Fact,,,1,https://youtu.be/SN5-DnOHQmE?feature=shared ,Climate change fundamentals
CMCC,Which of the following is NOT a primary greenhouse gas (GHG) associated with climate change?,Carbon Dioxide (CO2),Methane (CH₄),Helium (He),Nitrious Oxide (N2O),3,Introduction to Modern Climate Change.,Climate change fundamentals
CMCC,What are fossil fuels?,Dinosaurs that have been preserved in fuels like oil or coal,Dead organisms that have been fossilized in amber,Fossils that can be used for renewable energy,"Prehistoric plants and animals that have been turned into fuel sources, like oil and coal",4,https://www.energy.gov/fossil ,Climate change fundamentals
CMCC,Which of the following is a fossil fuel?,Coal,Petroleum (Oil),Natural Gas,All of the above are correct,4,"Climate Change, Fossil-Fuel Pollution, and Children's Health",Climate change fundamentals
CMCC,What is the most polluting sector globally?,Fossil Fuels,Fashion,Agricultre,Transportation,1,https://climatetrade.com/the-worlds-most-polluting-industries/ ,Climate change fundamentals
CMCC,TRUE or FALSE: Fossil fuels are an unlimited resource. ,TRUE,FALSE,,,2,https://www.gsi.ie/en-ie/education/earth-resources/Pages/Fossil-fuels.aspx ,Climate change fundamentals
CMCC,What organization is the leading global authority on the environment?,United Nations Environment Programme (UNEP),The World Bank,The Intergovernmental Panel on Climate Change (IPCC),,1,UN Environment Programme,Climate change fundamentals
CMCC,What are the Sustainable Development Goals (SDGs)? ,They are goals that will aid in the  sustainable development of Global South countries,They are goals created during the Rio+20 Summit to stimiulate action in areas of citical importance for humanity and the environment,They are goals to implement sustainable development in all EU cities,They are goals created to sustain the development of Global North countries,2,UN Environment Programme,Climate change fundamentals
CMCC,Which of the following are the three pillars of sustainability?,"Economic development, environmental protection, and social equity","Economic development, human health, and environmental protection","Envrionmental protection, industrial progress, and biodiversity ","Social equity, economic development, and biodiversity protection",1,UN Environment Programme,Climate change fundamentals
CMCC,What is Earth Day?,A day to remember Earth's history,The anniversary of the beginning of the environmental movement in 1970,The day the Earth was created,The beginning of the global warming,2,EarthDay.org,Climate change fundamentals
CMCC,What is A Silent Spring and what is its significance?,A book detailing the negative envirionmental and human health impacts of using DDT pesticides and is considered the beginning of the modern-day envrionmental movement,"A natural phenomonon where all the birds migrate during the spring, making an area ""silent"". ","A movie detailing a world after climate change where all plant, animal, and human life is gone and was considered to be a wake up call for many people worldwide",,1,NRDC ,Climate change fundamentals
CMCC,What are microplastics?,Tiny bits of plastic that are byproducts of the recycling process,Small pieces of plastics ,Shards of plastic measuring 5mm or less in length,Tiny bits of plastic that are byprodcuts of plastic production,3,UN Environment Programme,Climate change fundamentals
CMCC,What is Earth Overshoot Day?,The date when human's demand for ecological resources and services in a given year exceeds what Earth can regenerate in that year,The day the world will end,The day climate change impacts will be unreversible,,1,EarthOvershootDay,Climate change fundamentals
CMCC,What is the significance of microplastics?,Exposure to microplastics can have potential long-term impacts on human and environmental health,Build-up of microplastics can clog drainage systems,Microplastics can become costly byproducts to the recycling process,,1,Microplastics: A Real Global Threat,Climate change fundamentals
